indicator,sex,ageY,height,mu,sigma,lambda
cimt,f,14,150,0.49773,0.08755,-0.05783
cimt,f,14,155,0.50243,0.08755,-0.05783
cimt,f,14,160,0.50716,0.08755,-0.05783
cimt,f,14,165,0.51194,0.08755,-0.05783
cimt,f,14,170,0.51677,0.08755,-0.05783
cimt,f,14.5,150,0.49789,0.08755,-0.05783
cimt,f,14.5,155,0.50259,0.08755,-0.05783
cimt,f,14.5,160,0.50733,0.08755,-0.05783
cimt,f,14.5,165,0.51211,0.08755,-0.05783
cimt,f,14.5,170,0.51694,0.08755,-0.05783
cimt,f,14.5,175,0.52181,0.08755,-0.05783
cimt,f,15,155,0.50283,0.08755,-0.05783
cimt,f,15,160,0.50757,0.08755,-0.05783
cimt,f,15,165,0.51236,0.08755,-0.05783
cimt,f,15,170,0.51719,0.08755,-0.05783
cimt,f,15,175,0.52207,0.08755,-0.05783
cimt,f,15.5,155,0.50316,0.08755,-0.05783
cimt,f,15.5,160,0.50791,0.08755,-0.05783
cimt,f,15.5,165,0.51269,0.08755,-0.05783
cimt,f,15.5,170,0.51753,0.08755,-0.05783
cimt,f,15.5,175,0.52241,0.08755,-0.05783
cimt,f,16,155,0.50357,0.08755,-0.05783
cimt,f,16,160,0.50832,0.08755,-0.05783
cimt,f,16,165,0.51311,0.08755,-0.05783
cimt,f,16,170,0.51795,0.08755,-0.05783
cimt,f,16,175,0.52284,0.08755,-0.05783
cimt,f,16.5,155,0.50407,0.08755,-0.05783
cimt,f,16.5,160,0.50882,0.08755,-0.05783
cimt,f,16.5,165,0.51362,0.08755,-0.05783
cimt,f,16.5,170,0.51846,0.08755,-0.05783
cimt,f,16.5,175,0.52335,0.08755,-0.05783
cimt,f,17,155,0.50465,0.08755,-0.05783
cimt,f,17,160,0.50941,0.08755,-0.05783
cimt,f,17,165,0.51421,0.08755,-0.05783
cimt,f,17,170,0.51906,0.08755,-0.05783
cimt,f,17,175,0.52396,0.08755,-0.05783
cimt,f,17.5,155,0.50532,0.08755,-0.05783
cimt,f,17.5,160,0.51008,0.08755,-0.05783
cimt,f,17.5,165,0.51489,0.08755,-0.05783
cimt,f,17.5,170,0.51975,0.08755,-0.05783
cimt,f,17.5,175,0.52465,0.08755,-0.05783
cimt,f,18,155,0.50607,0.08755,-0.05783
cimt,f,18,160,0.51084,0.08755,-0.05783
cimt,f,18,165,0.51566,0.08755,-0.05783
cimt,f,18,170,0.52052,0.08755,-0.05783
cimt,f,18,175,0.52543,0.08755,-0.05783
cimt,f,18.5,155,0.50691,0.08755,-0.05783
cimt,f,18.5,160,0.51169,0.08755,-0.05783
cimt,f,18.5,165,0.51651,0.08755,-0.05783
cimt,f,18.5,170,0.52138,0.08755,-0.05783
cimt,f,18.5,175,0.5263,0.08755,-0.05783
cimt,f,19,155,0.50783,0.08755,-0.05783
cimt,f,19,160,0.51262,0.08755,-0.05783
cimt,f,19,165,0.51745,0.08755,-0.05783
cimt,f,19,170,0.52233,0.08755,-0.05783
cimt,f,19,175,0.52726,0.08755,-0.05783
cimt,f,19.5,155,0.50884,0.08755,-0.05783
cimt,f,19.5,160,0.51364,0.08755,-0.05783
cimt,f,19.5,165,0.51848,0.08755,-0.05783
cimt,f,19.5,170,0.52337,0.08755,-0.05783
cimt,f,19.5,175,0.52831,0.08755,-0.05783
cimt,f,20,155,0.50994,0.08755,-0.05783
cimt,f,20,160,0.51475,0.08755,-0.05783
cimt,f,20,165,0.5196,0.08755,-0.05783
cimt,f,20,170,0.5245,0.08755,-0.05783
cimt,f,20,175,0.52944,0.08755,-0.05783
cimt,f,20.5,155,0.51112,0.08755,-0.05783
cimt,f,20.5,160,0.51594,0.08755,-0.05783
cimt,f,20.5,165,0.52081,0.08755,-0.05783
cimt,f,20.5,170,0.52572,0.08755,-0.05783
cimt,f,20.5,175,0.53067,0.08755,-0.05783
cimt,f,21,155,0.5124,0.08755,-0.05783
cimt,f,21,160,0.51723,0.08755,-0.05783
cimt,f,21,165,0.5221,0.08755,-0.05783
cimt,f,21,170,0.52702,0.08755,-0.05783
cimt,f,21,175,0.53199,0.08755,-0.05783
cimt,f,21.5,155,0.51376,0.08755,-0.05783
cimt,f,21.5,160,0.5186,0.08755,-0.05783
cimt,f,21.5,165,0.52349,0.08755,-0.05783
cimt,f,21.5,170,0.52842,0.08755,-0.05783
cimt,f,21.5,175,0.53341,0.08755,-0.05783
cimt,f,22,155,0.51521,0.08755,-0.05783
cimt,f,22,160,0.52006,0.08755,-0.05783
cimt,f,22,165,0.52497,0.08755,-0.05783
cimt,f,22,170,0.52992,0.08755,-0.05783
cimt,f,22,175,0.53491,0.08755,-0.05783
cimt,f,22.5,155,0.51675,0.08755,-0.05783
cimt,f,22.5,160,0.52162,0.08755,-0.05783
cimt,f,22.5,165,0.52654,0.08755,-0.05783
cimt,f,22.5,170,0.5315,0.08755,-0.05783
cimt,f,22.5,175,0.53651,0.08755,-0.05783
cimt,f,23,155,0.51838,0.08755,-0.05783
cimt,f,23,160,0.52326,0.08755,-0.05783
cimt,f,23,165,0.5282,0.08755,-0.05783
cimt,f,23,170,0.53318,0.08755,-0.05783
cimt,f,23,175,0.5382,0.08755,-0.05783
cimt,f,23.5,155,0.5201,0.08755,-0.05783
cimt,f,23.5,160,0.525,0.08755,-0.05783
cimt,f,23.5,165,0.52995,0.08755,-0.05783
cimt,f,23.5,170,0.53495,0.08755,-0.05783
cimt,f,23.5,175,0.53999,0.08755,-0.05783
cimt,f,24,155,0.52192,0.08755,-0.05783
cimt,f,24,160,0.52684,0.08755,-0.05783
cimt,f,24,165,0.5318,0.08755,-0.05783
cimt,f,24,170,0.53682,0.08755,-0.05783
cimt,f,24,175,0.54188,0.08755,-0.05783
cimt,f,24.5,155,0.52382,0.08755,-0.05783
cimt,f,24.5,160,0.52876,0.08755,-0.05783
cimt,f,24.5,165,0.53375,0.08755,-0.05783
cimt,f,24.5,170,0.53878,0.08755,-0.05783
cimt,f,24.5,175,0.54386,0.08755,-0.05783
cimt,f,25,155,0.52583,0.08755,-0.05783
cimt,f,25,160,0.53079,0.08755,-0.05783
cimt,f,25,165,0.53579,0.08755,-0.05783
cimt,f,25,170,0.54084,0.08755,-0.05783
cimt,f,25,175,0.54594,0.08755,-0.05783
cimt,f,25.5,155,0.52793,0.08755,-0.05783
cimt,f,25.5,160,0.5329,0.08755,-0.05783
cimt,f,25.5,165,0.53793,0.08755,-0.05783
cimt,f,25.5,170,0.543,0.08755,-0.05783
cimt,f,25.5,175,0.54812,0.08755,-0.05783
cimt,f,26,155,0.53012,0.08755,-0.05783
cimt,f,26,160,0.53512,0.08755,-0.05783
cimt,f,26,165,0.54017,0.08755,-0.05783
cimt,f,26,170,0.54526,0.08755,-0.05783
cimt,f,26,175,0.5504,0.08755,-0.05783
cimt,f,26.5,155,0.53242,0.08755,-0.05783
cimt,f,26.5,160,0.53744,0.08755,-0.05783
cimt,f,26.5,165,0.5425,0.08755,-0.05783
cimt,f,26.5,170,0.54762,0.08755,-0.05783
cimt,f,26.5,175,0.55278,0.08755,-0.05783
cimt,f,27,155,0.53481,0.08755,-0.05783
cimt,f,27,160,0.53985,0.08755,-0.05783
cimt,f,27,165,0.54494,0.08755,-0.05783
cimt,f,27,170,0.55008,0.08755,-0.05783
cimt,f,27,175,0.55526,0.08755,-0.05783
cimt,f,27.5,155,0.5373,0.08755,-0.05783
cimt,f,27.5,160,0.54237,0.08755,-0.05783
cimt,f,27.5,165,0.54748,0.08755,-0.05783
cimt,f,27.5,170,0.55264,0.08755,-0.05783
cimt,f,27.5,175,0.55785,0.08755,-0.05783
cimt,f,28,155,0.53989,0.08755,-0.05783
cimt,f,28,160,0.54498,0.08755,-0.05783
cimt,f,28,165,0.55012,0.08755,-0.05783
cimt,f,28,170,0.55531,0.08755,-0.05783
cimt,f,28,175,0.56054,0.08755,-0.05783
cimt,f,28.5,155,0.54259,0.08755,-0.05783
cimt,f,28.5,160,0.54771,0.08755,-0.05783
cimt,f,28.5,165,0.55287,0.08755,-0.05783
cimt,f,28.5,170,0.55808,0.08755,-0.05783
cimt,f,28.5,175,0.56334,0.08755,-0.05783
cimt,m,14,150,0.52269,0.08715,0.04774
cimt,m,14,155,0.5264,0.08715,0.04774
cimt,m,14,160,0.53013,0.08715,0.04774
cimt,m,14,165,0.53388,0.08715,0.04774
cimt,m,14,170,0.53767,0.08715,0.04774
cimt,m,14,175,0.54148,0.08715,0.04774
cimt,m,14,180,0.54532,0.08715,0.04774
cimt,m,14.5,155,0.52562,0.0876,0.04774
cimt,m,14.5,160,0.52934,0.0876,0.04774
cimt,m,14.5,165,0.53309,0.0876,0.04774
cimt,m,14.5,170,0.53687,0.0876,0.04774
cimt,m,14.5,175,0.54068,0.0876,0.04774
cimt,m,14.5,180,0.54451,0.0876,0.04774
cimt,m,14.5,185,0.54837,0.0876,0.04774
cimt,m,15,160,0.5287,0.08806,0.04774
cimt,m,15,165,0.53245,0.08806,0.04774
cimt,m,15,170,0.53622,0.08806,0.04774
cimt,m,15,175,0.54002,0.08806,0.04774
cimt,m,15,180,0.54385,0.08806,0.04774
cimt,m,15,185,0.5477,0.08806,0.04774
cimt,m,15.5,165,0.53194,0.08852,0.04774
cimt,m,15.5,170,0.53571,0.08852,0.04774
cimt,m,15.5,175,0.53951,0.08852,0.04774
cimt,m,15.5,180,0.54333,0.08852,0.04774
cimt,m,15.5,185,0.54718,0.08852,0.04774
cimt,m,16,165,0.53158,0.08898,0.04774
cimt,m,16,170,0.53535,0.08898,0.04774
cimt,m,16,175,0.53914,0.08898,0.04774
cimt,m,16,180,0.54296,0.08898,0.04774
cimt,m,16,185,0.54681,0.08898,0.04774
cimt,m,16,190,0.55069,0.08898,0.04774
