indicator,sex,ageY,height,P5,P10,P25,P50,P75,P90,P95
cimt,f,14,150,,,,0.49773,0.52804,0.55706,0.57518
cimt,f,14,155,,,,0.50243,0.53302,0.56231,0.58061
cimt,f,14,160,,,,0.50716,0.53805,0.56761,0.58608
cimt,f,14,165,,,,0.51194,0.54312,0.57296,0.59161
cimt,f,14,170,,,,0.51677,0.54824,0.57837,0.59718
cimt,f,14.5,150,,,,0.49789,0.52821,0.55724,0.57537
cimt,f,14.5,155,,,,0.50259,0.53319,0.56249,0.58079
cimt,f,14.5,160,,,,0.50733,0.53822,0.5678,0.58627
cimt,f,14.5,165,,,,0.51211,0.54329,0.57315,0.5918
cimt,f,14.5,170,,,,0.51694,0.54841,0.57855,0.59738
cimt,f,14.5,175,,,,0.52181,0.55359,0.58401,0.60301
cimt,f,15,155,,,,0.50283,0.53345,0.56277,0.58108
cimt,f,15,160,,,,0.50757,0.53848,0.56807,0.58656
cimt,f,15,165,,,,0.51236,0.54356,0.57343,0.59209
cimt,f,15,170,,,,0.51719,0.54868,0.57883,0.59767
cimt,f,15,175,,,,0.52207,0.55386,0.58429,0.6033
cimt,f,15.5,155,,,,0.50316,0.5338,0.56314,0.58146
cimt,f,15.5,160,,,,0.50791,0.53883,0.56844,0.58694
cimt,f,15.5,165,,,,0.51269,0.54391,0.5738,0.59247
cimt,f,15.5,170,,,,0.51753,0.54904,0.57921,0.59806
cimt,f,15.5,175,,,,0.52241,0.55422,0.58467,0.6037
cimt,f,16,155,,,,0.50357,0.53424,0.5636,0.58194
cimt,f,16,160,,,,0.50832,0.53928,0.56891,0.58742
cimt,f,16,165,,,,0.51311,0.54436,0.57427,0.59296
cimt,f,16,170,,,,0.51795,0.54949,0.57969,0.59855
cimt,f,16,175,,,,0.52284,0.55467,0.58515,0.60419
cimt,f,16.5,155,,,,0.50407,0.53477,0.56415,0.58251
cimt,f,16.5,160,,,,0.50882,0.53981,0.56947,0.588
cimt,f,16.5,165,,,,0.51362,0.5449,0.57484,0.59355
cimt,f,16.5,170,,,,0.51846,0.55004,0.58026,0.59914
cimt,f,16.5,175,,,,0.52335,0.55522,0.58573,0.60479
cimt,f,17,155,,,,0.50465,0.53538,0.56481,0.58318
cimt,f,17,160,,,,0.50941,0.54043,0.57013,0.58868
cimt,f,17,165,,,,0.51421,0.54553,0.57551,0.59423
cimt,f,17,170,,,,0.51906,0.55067,0.58093,0.59983
cimt,f,17,175,,,,0.52396,0.55586,0.58641,0.60549
cimt,f,17.5,155,,,,0.50532,0.53609,0.56555,0.58395
cimt,f,17.5,160,,,,0.51008,0.54115,0.57088,0.58946
cimt,f,17.5,165,,,,0.51489,0.54625,0.57627,0.59502
cimt,f,17.5,170,,,,0.51975,0.5514,0.5817,0.60063
cimt,f,17.5,175,,,,0.52465,0.5566,0.58718,0.60629
cimt,f,18,155,,,,0.50607,0.53689,0.56639,0.58482
cimt,f,18,160,,,,0.51084,0.54195,0.57173,0.59034
cimt,f,18,165,,,,0.51566,0.54706,0.57712,0.5959
cimt,f,18,170,,,,0.52052,0.55222,0.58256,0.60152
cimt,f,18,175,,,,0.52543,0.55742,0.58806,0.60719
cimt,f,18.5,155,,,,0.50691,0.53778,0.56733,0.58579
cimt,f,18.5,160,,,,0.51169,0.54285,0.57268,0.59131
cimt,f,18.5,165,,,,0.51651,0.54797,0.57808,0.59689
cimt,f,18.5,170,,,,0.52138,0.55313,0.58353,0.60251
cimt,f,18.5,175,,,,0.5263,0.55835,0.58903,0.60819
cimt,f,19,155,,,,0.50783,0.53876,0.56836,0.58686
cimt,f,19,160,,,,0.51262,0.54384,0.57372,0.59239
cimt,f,19,165,,,,0.51745,0.54896,0.57913,0.59797
cimt,f,19,170,,,,0.52233,0.55414,0.58459,0.60361
cimt,f,19,175,,,,0.52726,0.55936,0.5901,0.6093
cimt,f,19.5,155,,,,0.50884,0.53983,0.56949,0.58802
cimt,f,19.5,160,,,,0.51364,0.54492,0.57486,0.59357
cimt,f,19.5,165,,,,0.51848,0.55005,0.58028,0.59916
cimt,f,19.5,170,,,,0.52337,0.55524,0.58575,0.60481
cimt,f,19.5,175,,,,0.52831,0.56048,0.59128,0.61051
cimt,f,20,155,,,,0.50994,0.54099,0.57072,0.58929
cimt,f,20,160,,,,0.51475,0.54609,0.5761,0.59485
cimt,f,20,165,,,,0.5196,0.55124,0.58153,0.60045
cimt,f,20,170,,,,0.5245,0.55644,0.58702,0.60611
cimt,f,20,175,,,,0.52944,0.56168,0.59255,0.61183
cimt,f,20.5,155,,,,0.51112,0.54225,0.57205,0.59066
cimt,f,20.5,160,,,,0.51594,0.54736,0.57744,0.59623
cimt,f,20.5,165,,,,0.52081,0.55252,0.58288,0.60185
cimt,f,20.5,170,,,,0.52572,0.55773,0.58838,0.60752
cimt,f,20.5,175,,,,0.53067,0.56299,0.59393,0.61325
cimt,f,21,155,,,,0.5124,0.5436,0.57347,0.59213
cimt,f,21,160,,,,0.51723,0.54872,0.57888,0.59771
cimt,f,21,165,,,,0.5221,0.55389,0.58433,0.60335
cimt,f,21,170,,,,0.52702,0.55912,0.58984,0.60903
cimt,f,21,175,,,,0.53199,0.56439,0.5954,0.61478
cimt,f,21.5,155,,,,0.51376,0.54504,0.57499,0.5937
cimt,f,21.5,160,,,,0.5186,0.55018,0.58041,0.5993
cimt,f,21.5,165,,,,0.52349,0.55537,0.58589,0.60495
cimt,f,21.5,170,,,,0.52842,0.5606,0.59141,0.61065
cimt,f,21.5,175,,,,0.53341,0.56589,0.59698,0.61641
cimt,f,22,155,,,,0.51521,0.54658,0.57661,0.59538
cimt,f,22,160,,,,0.52006,0.55173,0.58205,0.60099
cimt,f,22,165,,,,0.52497,0.55693,0.58754,0.60666
cimt,f,22,170,,,,0.52992,0.56218,0.59308,0.61237
cimt,f,22,175,,,,0.53491,0.56748,0.59867,0.61815
cimt,f,22.5,155,,,,0.51675,0.54821,0.57834,0.59716
cimt,f,22.5,160,,,,0.52162,0.55338,0.58379,0.60279
cimt,f,22.5,165,,,,0.52654,0.5586,0.5893,0.60847
cimt,f,22.5,170,,,,0.5315,0.56386,0.59485,0.61421
cimt,f,22.5,175,,,,0.53651,0.56918,0.60046,0.62
cimt,f,23,155,,,,0.51838,0.54994,0.58016,0.59904
cimt,f,23,160,,,,0.52326,0.55513,0.58563,0.60469
cimt,f,23,165,,,,0.5282,0.56036,0.59116,0.61039
cimt,f,23,170,,,,0.53318,0.56564,0.59673,0.61614
cimt,f,23,175,,,,0.5382,0.57098,0.60235,0.62195
cimt,f,23.5,155,,,,0.5201,0.55177,0.58209,0.60103
cimt,f,23.5,160,,,,0.525,0.55697,0.58758,0.6067
cimt,f,23.5,165,,,,0.52995,0.56222,0.59312,0.61242
cimt,f,23.5,170,,,,0.53495,0.56752,0.59871,0.61819
cimt,f,23.5,175,,,,0.53999,0.57287,0.60436,0.62402
cimt,f,24,155,,,,0.52192,0.5537,0.58412,0.60313
cimt,f,24,160,,,,0.52684,0.55892,0.58963,0.60882
cimt,f,24,165,,,,0.5318,0.56419,0.59519,0.61456
cimt,f,24,170,,,,0.53682,0.56951,0.6008,0.62035
cimt,f,24,175,,,,0.54188,0.57487,0.60647,0.6262
cimt,f,24.5,155,,,,0.52382,0.55572,0.58626,0.60534
cimt,f,24.5,160,,,,0.52876,0.56096,0.59179,0.61104
cimt,f,24.5,165,,,,0.53375,0.56625,0.59737,0.6168
cimt,f,24.5,170,,,,0.53878,0.57159,0.603,0.62262
cimt,f,24.5,175,,,,0.54386,0.57698,0.60868,0.62849
cimt,f,25,155,,,,0.52583,0.55785,0.5885,0.60765
cimt,f,25,160,,,,0.53079,0.56311,0.59405,0.61338
cimt,f,25,165,,,,0.53579,0.56842,0.59965,0.61916
cimt,f,25,170,,,,0.54084,0.57377,0.60531,0.625
cimt,f,25,175,,,,0.54594,0.57918,0.61101,0.63089
cimt,f,25.5,155,,,,0.52793,0.56007,0.59085,0.61008
cimt,f,25.5,160,,,,0.5329,0.56535,0.59642,0.61583
